,yrke
radioman,8
barber-surgeon,8
malacologist,8
ståthållare,8
conservator,8
metallarbetare,7
manager,7
cricketer,7
london,7
historiographer,7
bankkamrer,7
immunologist,7
producent,7
försäkringsman,7
kronofogde,7
baletthistoriker,7
abbot,7
university administrator,7
scandinavian philologist,7
kung,7
stadsbibliotekarie,7
hydrograf,7
landed proprietor,7
donator,7
tenngjutare,7
typographer,7
skriftställarinna,7
trädgårdsmästare,7
bruksdisponent,7
konstskribent,7
mystic,7
nurse,7
museum director,7
etnograf,7
musikkopist,7
stadsarkitekt,7
jur dr,7
musikpedagog,7
fru,7
superintendent,7
översättarinna,7
läroboksförfattare,7
kammarråd,7
ichtyologist,7
mesmerist,7
maskinist,7
university teacher,7
fil. lic.,7
palaeographer,7
reklamchef,7
consul-general,7
historian of science,7
assessor,7
revolutionary,7
naval surgeon,7
magistrate,7
köpenhamn,7
prefect,7
theosophist,6
folklivsforskare,6
husföreståndarinna,6
esq.,6
skolföreståndarinna,6
brewer,6
stadsingenjör,6
hovrättspresident,6
rear-admiral,6
kammarskrivare,6
operettsångerska,6
gymnastiklärare,6
musikskriftställare,6
alkemist,6
political economist,6
builder,6
phonetician,6
marinmålare,6
archbishop of canterbury,6
dansös,6
astrofysiker,6
jeweller,6
etcher,6
navigator,6
ornitolog,6
seamstress,6
farm. dr. h. c.,6
superkargör,6
agitator,6
undervisningsråd,6
polar explorer,6
trollkonstnär,6
kopist,6
domare,6
manusförfattare,6
lexikograf,6
playwright,6
religionshistoriker,6
patient,6
germanist,6
hemmansägare,6
utrikesminister,6
bergmästare,6
trader,6
teaterkritiker,6
teaterförläggare,6
med. dr h.c.,6
konstteoretiker,6
plant collector,6
militärattaché,6
stationer,6
goldsmith,6
electrician,6
educator,6
teaterledare,6
fältmarskalk,6
naturvetare,6
försäljningschef,6
redaktionschef,6
surgeon-general,6
koreograf,6
essayist,6
förste bibliotekarie,6
anaesthetist,6
xylograf,6
kurator,6
guldsmed,6
land surveyor,6
veterinär,6
provinsialläkare,6
telegrapher,5
stationskarl,5
court official,5
föreläsare,5
byggnadsarbetare,5
process engraver,5
registrator,5
alpinist,5
wine merchant,5
kronolänsman,5
oceanographer,5
specialist in mental diseases,5
skulptris,5
förbundsordförande,5
skolföreståndare,5
sånglärare,5
diarist,5
företagsledare,5
naturvetenskapsman,5
statsman,5
fil. kand.,5
landscape painter,5
cand. phil.,5
konstvetare,5
restaurant-keeper,5
fiskeribiolog,5
print dealer,5
bookbinder,5
kassörska,5
hovjägmästare,5
fyrmästare,5
källarmästare,5
spelman,5
professor i konsthistoria,5
markis,5
teol. kand.,5
privatlärare,5
neuropsychiatrist,5
geofysiker,5
konduktör,5
hovkapellmästare,5
arrangör,5
viceamiral,5
nurseryman,5
fackföreningsman,5
finansman,5
lord mayor,5
kammarrättsråd,5
assyriologist,5
governor,5
police magistrate,5
designer,5
tv-producent,5
canon,5
actuary,5
partisekreterare,5
master in chancery,5
kyrkoadjunkt,5
univ.lärare i helsingfors,5
hovstallmästare,5
filosofie doktor,5
landskamrerare,5
scientific writer,5
spa physician,5
musikhandlare,5
lyriker,5
arméofficer,5
landsarkivarie,5
wien,5
körledare,5
mycologist,5
naval architect,5
verkställande direktör,5
gentleman,5
klockare,5
legationssekreterare,5
juvelerare,5
taxidermist,5
heraldiker,5
travel writer,5
spiritualist,5
medical jurist,5
gynaecological surgeon,5
förman,5
east india co. director,5
army medical officer,5
councillor,5
regementsläkare,5
musikkritiker,5
verkmästare,5
bagare,5
seminarielärare,5
förlagsbokhandlare,5
polismästare,5
kommerseråd,5
hovmarskalk,5
fysiolog,5
respondent,5
serologist,5
idéhistoriker,5
folkhögskolerektor,5
polisman,5
glaskonstnär,5
administrator in india,5
rättsvetenskapsman,5
uppsala,5
mintmaster,5
skräddarmästare,5
kyrkomusiker,5
jur. dr. h. c.,5
landstingsman,5
programchef,5
professor i historia,5
regeringsråd,5
kanslichef,5
biokemist,5
antropolog,5
miniature painter,5
freemason,5
vice-chancellor,4
helsingfors,4
förste kurator,4
forger,4
generalguvernör,4
recorder,4
hotellägare,4
konteramiral,4
kulturgeograf,4
shopkeeper,4
möbelsnickare,4
secretary of state,4
socialpolitiker,4
filmregissör,4
customs officer,4
state archivist,4
colonial official,4
partiordförande,4
textilkonstnärinna,4
hkh kronprinsens adjutant (gustaf adolf),4
prins,4
drottning,4
pastorsadjunkt,4
newspaper editor,4
keramiker,4
impressario,4
målarmästare,4
lord lieutenant,4
typefounder,4
akademisekreterare,4
musikvetare,4
studierektor,4
fil dr.,4
landsfiskal,4
expeditionssekreterare,4
nykterhetsman,4
entreprenör,4
telegrafist,4
church historian,4
attaché,4
stuckatör,4
kommunpolitiker,4
jur. dr.,4
akademiboktryckare,4
prehistorian,4
physical chemist,4
läroverkslektor,4
literary man,4
stadsträdgårdsmästare,4
sociologist,4
magician,4
jur. dr.,4
teaterman,4
miscellaneous writer,4
nunna,4
divine,4
sinolog,4
zymologist,4
konstnär.,4
bibliotekschef,4
univ.lärare,4
military surgeon,4
demographer,4
landscape gardener,4
president,4
postal official,4
nun,4
järnvägsman,4
alderman,4
retoriker,4
instrumentmakare,4
cand phil,4
soprano,4
lokförare,4
fil stud,4
public servant,4
författare.,4
moral philosopher,4
hushållerska,4
watchmaker,4
tax collector,4
dansare,4
teaterhistoriker,4
folkskolinspektör,4
hovfotograf,4
byråsekreterare,4
programledare,4
prosector,4
museum keeper,4
socialist,4
wood-engraver,4
filantrop,4
folkhögskollärare,4
folkhögskoleman,4
affärsinnehavare,4
biblical scholar,4
auditör,4
folkbildare,4
bankokommissarie,4
sjöman,4
gastronome,4
riksbibliotekarie,4
bailiff,4
gitarrist,4
man-midwife,4
epigrafiker,4
tullinspektör,4
föreståndarinna,4
antikvetare,4
advokatfiskal,4
socialist theorist,4
gambist,4
musikforskare,4
skolkökslärarinna,4
diakonissa,4
pristagare,4
kock,4
widow,4
inspektör,4
arkitekturhistoriker,4
stockbroker,4
commissioner,4
kyrkofader,4
psykoterapeut,4
filmproducent,4
barber,4
executor,3
cand jur,3
justitiekansler,3
tidningsredaktör,3
first class assistant engineer,3
skogsförvaltare,3
bankobokhållare,3
worker,3
horologist,3
clock-and-watch maker,3
faktor,3
forest officer,3
map maker,3
moskva,3
hebraist,3
ornamentsstickare,3
jordbrukare,3
högskolelärare,3
presbyterian minister,3
diplomingenjör,3
textilhistoriker,3
hamnkapten,3
ambassadråd,3
medium,3
hovråd,3
serjeant-at-law,3
taxonomist,3
fil. kand,3
spårvägsman,3
fortifikationsofficer,3
medallist,3
bryologist,3
hydrolog,3
ritare,3
fastighetsdirektör,3
doktor,3
nursemaid,3
musikhistoriker,3
cirkusartist,3
kabinettskammarherre,3
förste legationssekreterare,3
försäkringsinspektör,3
konstgjutare,3
professor of latin,3
sjukhusdirektör,3
fängelsedirektör,3
law reporter,3
master of the rolls,3
geneticist,3
king,3
social reformer,3
inredningsarkitekt,3
påve,3
religionsvetare,3
sopran,3
urmakare,3
universitetskansler,3
heraldist,3
psykoanalytiker,3
förste arkivarie,3
kulturattaché,3
professor i geografi,3
överstekammarjunkare,3
skoarbetare,3
land agent,3
konditor,3
aural surgeon,3
folkbildningsman,3
phil,3
vetenskapsman,3
assistent,3
university treasurer,3
gruvarbetare,3
vice kommissionslantmätare,3
ironmaster,3
musikrecensent,3
confectioner,3
fanjunkare,3
riksarkivarie,3
kung av sverige,3
geokemist,3
kommunalråd,3
singing master,3
eldare,3
baker,3
postdirektör,3
studieledare,3
hovsångerska,3
journal editor,3
skogsarbetare,3
statssekreterare,3
byggnadsingenjör,3
aide-de-camp,3
paper manufacturer,3
stadsfogde,3
kanslisekreterare,3
skeppare,3
law reformer,3
cirkusdirektör,3
förste byråsekreterare,3
mecenat,3
electrical engineer,3
dr phil.,3
