,Yrke,Antal,SBL_SKBL
433,Lantbruksekonom,,SBL_only
434,Lantbruksingenjör,,SBL_only
435,Lantbrukskemist,,SBL_only
436,Lantbrukslärare,,SBL_only
437,Lantförsvarsminister,,SBL_only
438,Lanthushållare,,SBL_only
439,Lantmarskalk,,SBL_only
440,Lantmätare,,SBL_only
441,Latinist,,SBL_only
442,Latinskald,,SBL_only
443,Lekmannabroder,,SBL_only
444,Lekmannapredikant,,SBL_only
445,Lexikograf,,SBL_only
446,Lichenolog,,SBL_only
447,Limnolog,,SBL_only
448,Litograf,,SBL_only
449,Litteraturhistoriker,,SBL_only
450,Litteraturkritiker,14,both
451,Litteratör,1,both
452,Livsmedelskemist,,SBL_only
453,Luftvärnsofficer,,SBL_only
454,Lustspelsförfattare,,SBL_only
455,Läkare,19,both
456,Läkare (anestesiolog),,SBL_only
457,Läkare (bakteriolog),,SBL_only
458,Läkare (barnpsykiater),,SBL_only
459,Läkare (gynekolog),,SBL_only
460,Läkare (hematolog),,SBL_only
461,Läkare (hygienmedicinare),,SBL_only
462,Läkare (kirurg),,SBL_only
463,Läkare (lungläkare),,SBL_only
464,Läkare (medicinare),,SBL_only
465,Läkare (militärläkare),,SBL_only
466,Läkare (neurokirurg),,SBL_only
467,Läkare (neurolog),,SBL_only
468,Läkare (obstetriker),,SBL_only
469,Läkare (ortoped),,SBL_only
470,Läkare (pediatriker),,SBL_only
471,Läkare (plastikkirurg),,SBL_only
472,Läkare (provinsialläkare),,SBL_only
473,Läkare (psykiater),,SBL_only
474,Läkare (radiolog),,SBL_only
475,Läkare (reumatolog),,SBL_only
476,Läkare (venereolog),,SBL_only
477,Läkare (yrkesmedicinare),,SBL_only
478,Läkare (ögonläkare),,SBL_only
479,Läkare (öronläkare),,SBL_only
480,Länsman,,SBL_only
481,Lärare,147,both
482,Lärd,,SBL_only
483,Lärdomshistoriker,,SBL_only
484,Läroboksförfattare,,SBL_only
485,Löpare,,SBL_only
486,Magnetisör,,SBL_only
487,Manusförfattare,,SBL_only
488,Mariningenjör,,SBL_only
489,Marinintendent,,SBL_only
490,Marinmålare,,SBL_only
491,Marinöverdirektör,,SBL_only
492,Markforskare,,SBL_only
493,Markgrevinna,,SBL_only
494,Marsk,,SBL_only
495,Maskiningenjör,,SBL_only
496,Matematiker,,SBL_only
497,Mecenat,3,both
498,Medaljgravör,,SBL_only
499,Medeldistanslöpare,,SBL_only
500,Medeltidsarkeolog,,SBL_only
501,Medeltidshistoriker,,SBL_only
502,Medicinalråd,,SBL_only
503,Medicinare,,SBL_only
504,Medicinhistoriker,,SBL_only
505,Medicinsk fysiker,,SBL_only
506,Medicinsk kemist,,SBL_only
507,Mediepionjär,,SBL_only
508,Mejeripionjär,,SBL_only
509,Mejerist,,SBL_only
510,Mekaniker,,SBL_only
511,Memoarförfattare,,SBL_only
512,Metallurg,,SBL_only
513,Meteorolog,,SBL_only
514,Mikrobiolog,,SBL_only
515,Mikroskopist,,SBL_only
516,Militär,,SBL_only
517,Militärhistoriker,,SBL_only
518,Militärmusiker,,SBL_only
519,Mineralanalytiker,,SBL_only
520,Mineralog,,SBL_only
521,Miniatyrmålare,,SBL_only
522,Minister för kyrkfrågor,,SBL_only
523,Minister för nedrustningsfrågor,,SBL_only
524,Missionsbiskop,,SBL_only
525,Missionshistoriker,,SBL_only
526,Missionsledare,,SBL_only
