,yrke
fritänkare,1
Conspirator,1
universitetslärare i Königsberg.,1
Dealer in minerals,1
Dramatisk författare,1
Sovereign of the Netherlands and co-monarch of Albert VII,1
Klimatolog,1
Geodet,1
reformist,1
Lektor i Falun.,1
Mining manager,1
havsforskare,1
Skolman och författare,1
Professor of poetry,1
lantbruksråd,1
gymnastiklärare,1
viskompositör,1
Reviewer,1
dansös,1
Expert on India,1
Stadsplanerare,1
King's proctor,1
Foundry proprietor,1
The Art Institute of Chicago,1
univ. lärare i Breslau,1
idrottsorganisatör,1
Barnboksförfattare,1
biblioteksman i Göttingen,1
Chief forest officer,1
kyrkobyggare,1
Norroy king of arms,1
Adjunkt,1
Soprintendente alle gallerie,1
Landscape draughtsman,1
Universitetslärare i Jena,1
Chefredaktör för Hufvudstadsbladet Helsingfors,1
Noblewoman,1
prince-elector and Duke of Pfalz-Sulzbach,1
Kåsör,1
Tillverkare av vetenskapliga instrument,1
Språk- och fornforskare,1
ryttmästare,1
Teologie professor,1
Stridsflygare,1
"Secretary of the ""Statsråd""",1
flygare,1
"""Colonial manager""",1
Direktör London museum,1
Italiensk diplomat,1
Fortune-teller,1
Bee-keeper,1
Duca di Milano,1
Vicar at Funbo,1
jordbruksminister,1
Matematiker och filosof,1
Kulturskribent,1
språk och litteratur,1
Generalsekreterare,1
Contractor,1
Yrkesinspektör,1
Hymnolog,1
Förlagsredaktör,1
Paleobotaniker,1
Lenins sekreterare,1
professor i nordisk och jämförande fornkunskap,1
Dansk skådespelerska,1
Medical administrator,1
Spårvägsdirektör,1
sekreterare i Fotografiska föreningen,1
Litteratör,1
Museiföreståndare,1
Public health administrator,1
Docent i klassisk fornkunskap och antikens historia,1
Programdirektör,1
Arctic scientist,1
Inspector of schools,1
Deputy governor,1
Entrepreneur,1
Journalist och skriftställare.,1
Legal historian,1
Women's activist,1
tjänsteman,1
Friherrinna,1
Historisk lingvist,1
Docent i praktisk astronomi,1
Environmental scientist,1
konstutställare,1
Språkstatistiker,1
arméofficer,1
Kyrkomusiker; domkyrkoorganist i Uppsala,1
vd,1
Field botanist,1
Folklivs- o. folkmålsforskare,1
Eccentric,1
docent vid univ. i Rom,1
baron,1
Master of college,1
Professor i nordiska språk,1
konstgjutare,1
Karantänsmästare å Känsö,1
President of the National Board of Trade,1
Attaché,1
danskonstnärinna,1
Patentingenjör,1
Sekreterare vid den svenska arkeologiska institutionen i Rom 1927-28,1
Governor-general of the Union of South Africa,1
Overretssagförer,1
rektor.,1
Överste i flygvapnet,1
Professor i historia vid Uppsala universitet,1
Författare och entomolog,1
kirurg,1
formand,1
Fyrmästare,1
Journalist och korrespondent för Nya Dagligt Allehanda 1927-37,1
barnavårdskonsulent,1
Diplomat?,1
kung av Sverige,1
ekon. dr h.c.,1
univ.lärare vid Sorbonne,1
chef för Radiotjänst,1
Teaterledare,1
Angler,1
Socialråd,1
Russian scholar,1
Lutenist,1
trafikflygare,1
Förrådsman,1
Affärsledare,1
muisker,1
Parliamentary counsel,1
Kommendörkapter,1
Flax spinner,1
kassör,1
konstrecensent,1
Art functionary,1
Historian of bookbindings,1
Läroverksöverstyrelsedirektör,1
Kirchenrat,1
Nonconformist divine,1
fv universitetsbibliotekarie,1
geheimekonferensråd,1
riksjusterare och Stockholms borgerskaps sekreterare,1
författare. Ledamot i 1969 års psalmbokskommitté.,1
vetenskapsman och ämbetsman,1
artistchef,1
Punch cutter,1
univ.-lärare i Münster,1
HKH kronprinsens adjutant (Gustaf Adolf),1
Rikskansler,1
Politician in India,1
farm. dr. h. c.,1
Möbelsnickare,1
Topographical engineer,1
Riksgäldskommissarie,1
Domprost i Växjö,1
Bergsmekaniker,1
Xylograf,1
osteolog,1
Chefredaktör för Göteborgs Morgonpost 1937-49,1
naturalist,1
Universitetslärare i Kowno,1
Writer on literature,1
Lärare vid teknisk skola,1
Gymnastikhistoriker,1
Keyboard performer,1
Univ.lärare i Hamburg,1
kongressledamot,1
Turkolog,1
Förlagschef,1
stratigraf,1
Cand teol,1
Professor i Wien,1
Social anthropologist,1
ordboksredaktör,1
Sjukgymnast,1
konsertmästare,1
Radioman,1
fil mag.,1
Konservator,1
Professor i svenska språket,1
Lyriker.,1
preparator vid British Museum,1
Officer of the royal household,1
Founder of charity schools,1
veterinärläkare,1
Food chemist,1
Sailor,1
Folkhögskoleföreståndare (Hvilan),1
Aviator,1
Usher of the Court of Receipts,1
generalfältläkare,1
Museumdirektör,1
musikteoretiker,1
bitr. förbundsrektor,1
Tryckare.,1
landskapsarkitekt,1
Ärkebiskopinna,1
News agency founder,1
Teaterregissör och författare,1
Högskolelärare,1
Tysk industriman,1
Dialectologist,1
Lasarettläkare,1
Spa physician,1
Solicitor-General,1
Drottning av Danmark,1
Fastighetsdirektör,1
Lingvist och litteraturvetare,1
Sjukhusdirektör,1
