,yrke
Filmproducent,2
Magistrate,2
korrespondent,2
tryckare,2
stadsläkare,2
Antique dealer,2
Soprano,2
Freethinker,2
språkvetare,2
Limnologist,2
Veterinär,2
univ.lärare i Strassburg,2
Idrottsman,2
Toponomist,2
Musical antiquary,2
Paediatrician,2
Musikkopist,2
Medical editor,2
Forskare,2
Foreign secretary,2
Chefsgravör vid Kungl. Mynt- och justeringsverket,2
kopparstickare,2
Printseller,2
Marinmålare,2
Chief Medical Officer,2
Vetenskapshistoriker,2
Architectural historian,2
Writer on agriculture,2
Antropolog,2
Läroverkslektor,2
Medical journalist,2
Oncologist,2
ekonom,2
dansare,2
kontorist,2
Craniologist,2
Potter,2
Balneologist,2
överståthållare,2
fornforskare,2
Anaesthetist,2
förste intendent,2
County historian,2
physician,2
Lord Chamberlain,2
Balloonist,2
Shipowner,2
cand jur,2
fabrikör,2
konstpedagog,2
kulturskribent,2
Nobel prize winner,2
turnéledare,2
Algologist,2
kyrkoadjunkt,2
partisekreterare,2
jur utr dr,2
Postmästare,2
kansliråd,2
Councillor,2
Barber-surgeon,2
Controversialist,2
programchef,2
psykoterapeut,2
Drawing master,2
Italian patriot,2
Fil,2
handlanden,2
Nurseryman,2
Map maker,2
Ambassador,2
Myntgravör,2
Entreprenör,2
Customs officer,2
bankir,2
Runologist,2
Musikforskare,2
French revolutionary,2
Vulkanolog,2
Teaterman,2
Fältläkare,2
Förbundsordförande,2
Natural history artist,2
museiinspektör,2
Psalmförfattare,2
genetiker,2
rådman,2
Försäkringsdirektör,2
Kantor,2
Instrumentmakare,2
Kyrkomusiker,2
Millowner,2
trubadur,2
Osteologist,2
Kulturgeograf,2
Print publisher,2
Grammarian,2
Mountaineer,2
Marinläkare,2
byrådirektör,2
biokemist,2
Moral philosopher,2
Forest officer,2
kosmolog,2
Book illustrator,2
Museumsdirektör,2
Miniature painter,2
Gravör i Avesta,2
markis,2
fackföreningsledare,2
Garden designer,2
Shipbuilder,2
postdirektör,2
Skönlitterär författare,2
Gambist,2
statsman,2
univ.lärare i Helsingfors,2
Director of the Zoological Gardens,2
Konsul,2
Purist,2
handelsman,2
operettsångerska,2
Privy Councillor,2
Byråchef,2
Rope maker,2
industriidkare,2
redaktionschef,2
Förlagsdirektör,2
Professor i Rostock,2
Postmaster,2
fastighetsdirektör,2
pressattaché,2
Academic administrator,2
textillärare,2
Keramiker,2
Graphic artist,2
Borgarråd,2
Electro-therapist,2
Agronom,2
Satirtecknare,2
folkhögskolelärare,2
aktuarie,2
litograf,2
Print dealer,2
Kronofogde,2
Nun,2
Assessor i Bergskollegium,2
Athlete,2
skolledare,2
Religionsvetare,2
Positivist,2
Notary public Autograph collector,2
Professor i geografi,2
Fackföreningsman,2
Förlagsbokhandlare,2
riksarkivarie,2
dramaturg,2
Writer on science,2
hävdatecknare,2
Accoucheur,2
statsvetare,2
Director of research station,2
hovrättsråd,2
Konduktör,2
teol. dr h.c.,2
Lord Lieutenant,2
Pressattaché,2
Musikkritiker,2
hydrolog,2
Geodesist,2
Uppsala,2
Revisor,2
Hovpredikant,2
Företagsekonom,2
Intendent,2
kurator,2
Leprosy specialist,2
Animal-painter,2
High school teacher,2
Växtförädlare,2
radioproducent,2
Government official,2
Estetiker,2
Meteorolog,2
sopran,2
vice häradshövding,2
antropolog,2
ryttare,2
Anarchist,2
Midwife,2
Christian apologist,2
Treasurer,2
Bruksdisponent,2
University professor,2
Översättarinna,2
Electro-physiologist,2
Governor-general of Bengal,2
Old English scholar,2
satiriker,2
director,2
Socialist theorist,2
läroboksförfattare,2
Headmistress,2
Domare,2
Konstteoretiker,2
Fältmarskalk,2
Public health reformer,2
Medical practitioner,2
lantmarskalk,2
revisor,2
phil,2
Soprintendente,2
Nurse,2
Radical,2
universitetslärare i Wien,2
German philologist,2
Lord Mayor,2
fiskeritillsynsman,2
Music critic,2
Författare.,2
Dansös,2
Eugenist,2
Epigrafiker,2
Founder of scholarship,2
Speleologist,2
superintendent,2
Antikvarie,2
Medicinare,2
hovrättspresident,2
kamrer,2
förlagsman,2
tullinspektör,2
genealog,2
koreograf,2
rättsvetenskapsman,2
Mezzotintgravör,2
Specialist in mental diseases,2
klassisk filolog,2
teol. kand.,2
hovfotograf,2
Drottning,2
Telegrapher,2
